word,pos,dfns
a,determiner,"used before a noun to refer to a single thing or person that has not been mentioned before, especially when you are not referring to a particular thing or person"
a,determiner,used to say what type of thing or person something or someone is
a,determiner,used to mean any or every thing or person of the type you are referring to
a,determiner,"used before some unaccountable nous when you want to limit their meaning in some way, such as when describing them more completely or referring to one example of them"
a,determiner,used before some nous of action when referring to one example of the action
a,determiner,"used when referring to a unit or container of something, especially something you eat or drink"
a,determiner,used before the first but not the second of two nous that are referred to as one unit
a,determiner,used before some words that express a number or amount
a,determiner,used in front of a person's name when referring to someone who you do not know
a,determiner,used in front of someone's family name when they are a member of that family
a,determiner,used before the name of a day or month to refer to one example of it
a,determiner,one
a,determiner,used between a fraction and a unit of measurement
a,determiner,used when saying how often something happens in a certain period
a,determiner,used when saying how much someone ears or how much something costs in a certain period
A,noun,written abbreviations for amp
a,preposition,in or for each or every; per
A,noun,the first letter of the English alphabet
A,noun,"in Western music, the sixth note in the scale that begins on the note C, or a set of notes based on this note"
A,noun,"a mark that means excellent, given to something of the highest quality, esp. school work"
abandon,verb,"to leave a place, thing, or person, usually for ever"
abandon,verb,to stop doing an activity before you have finished it
abandon,verb,to allow yourself to be controlled completely by a feeling or way of living
abandon,noun,in a completely uncontrolled way
abandon,verb,"to leave behind or run away from someone or something, or to give up something"
abandon,verb,"to stop an activity before it is finished, usually because you think you cannot succeed"
abandon,verb,"to leave a person, place, or thing that needs you to care for them"
abandon,verb,"to allow an insurance company to keep property that has been lost or damaged, in exchange for an insurance payment"
ability,noun,the physical or mental power or skill needed to do something
ability,noun,the mental or physical power or skill needed to do something
ability,noun,"the power or skill needed to do something, or the fact that someone is able to do something"
able,adjective,"to have the necessary physical strength, mental power, skill, time, money, or opportunity to do something"
able,adjective,to find it easier to do something
able,adjective,intelligent or good at what you do
able,adjective,"having what is needed to do something, esp. the physical or mental power, skill, time, money, or opportunity"
able,adjective,good at what you do
about,preposition,"on the subject of, or connected with"
about,preposition,to take action to solve a problem
about,preposition,"position around a place, often without a clear purpose or order"
about,preposition,in a particular place
about,adverb,a little more or less than the stated number or amount
about,adverb,almost
about,adverb,in many different directions
about,adverb,"position around a place, often without a clear purpose or order"
about,adverb,in or near a place
about,adjective,to be going to do something very soon
about,preposition,on the subject of; connected with
about,adverb,a little more or less than a specific number; approximately
about,adjective,"almost ready to do something, or intending to do something soon"
about,preposition,position or moving in or near a place
above,adverb,in or to a higher position than something else
above,adverb,more than an amount or level
above,adverb,most importantly
above,adverb,in a more important or advanced position than someone else
above,adverb,too good or important for something
above,adverb,"When used in a piece of writing, ""above"" means higher on the page, or on a previous page"
above,adverb,all the people or things listed earlier
above,adverb,"higher than, more than, or at a level greater than"
above,adverb,"In writing, above can mean as stated higher up on this page or on a previous page"
above,adverb,To be above doing something is to consider yourself too important or too moral to do it
above,plural noun,those mentioned earlier
abroad,adverb,in or to a foreign country or countries
abroad,adverb,"outside, or not at home"
abroad,adverb,"used to say that ideas, feelings, and opinions are shared by many people"
abroad,adverb,in or to a foreign country or countries
absolute,adjective,very great or to the largest degree possible
absolute,adjective,used when expressing a strong opinion
absolute,adjective,"true, right, or the same in all situations and not depending on anything else"
absolute,adjective,In absolute ruler has unlimited power
absolute,adjective,"without limit, very great, or to the largest degree possible"
absolute,adjective,certain; not to be doubted
absolute,adjective,very great or to the largest degree possible
absolute,adjective,used when expressing a strong opinion
