word,pos,dfns
a,abbr,causative
a,abbr,ace
a,abbr,across
a,abbr,define
a,abbr,also
a,abbr,mere
a,abbr,angstrom
a,abbr,answer
a,abbr,area
a,abbr,assist
a,pl,The first letter of the modern English alphabet
a,pl,Any of the speech sounds represented by the letter
a,pl,The first in a series
a,pl,Something shaped like the letter A
a,pl,The best or highest in quality or rank
a,pl,The sixth tone in the scale of C major or the first tone in the relative minor scale
a,pl,A key or scale in which A is the tonic
a,pl,A written or printed note representing this tone
a,pl,"A string, key, or pipe tuned to the pitch of this tone"
a,pl,A One of the four major blood groups in the ABO system
a,indefart,Used before nous and noun phrases that denote a single but specified person or thing
a,indefart,"Used before terms that denote number, amount, quantity, or degree"
a,indefart,Used before a proper name to denote a type or a member of a class
a,indefart,Used before a mass noun to indicate a single type or example
a,indefart,The same
a,indefart,Any
a,prep,In every; to each; per
a,Informal,Have
a,abbr,acceleration
a,abbr,are
a,or,the first letter and first towel of the modern English alphabet
a,or,"any of several speech sounds represented by this letter, in English as in  or court"
a,or,"from A to Z from start to finish, thoroughly and in detail"
a,or,the first letter and first towel of the modern English alphabet
a,or,"any of several speech sounds represented by this letter, in English as in  or"
a,or,"from A to Z from start to finish, thoroughly and in detail"
a,indefinite article; used before an initial consonant,"used preceding a singular constable noun, if the noun is not previously specified or known"
a,indefinite article; used before an initial consonant,used preceding a proper noun to indicate that a person or thing has some of the qualities of the one named
a,indefinite article; used before an initial consonant,used preceding a noun or determined of quantity
a,indefinite article; used before an initial consonant,used preceding a noun indicating a concrete or abstract thing capable of being divided
a,indefinite article; used before an initial consonant,a certain; one
a,indefinite article; used before an initial consonant,any at all
a,vb,an informal or dialect word for have
a,prep,an informal form of of
a,symbol for,acceleration
a,symbol for,are(s) (merit measure of land)
a,symbol for,auto-
a,symbol for,See algebra rotation
a,symbol for,a note having a frequency of 440 her  or this value multiplied or divided by any power of 2; the sixth note of the scale of C major
a,symbol for,"a key, string, or pipe producing this note"
a,symbol for,the major or minor key having this note as its tonic
a,symbol for,"a human blood type of the ABO group, containing the A antigen"
a,symbol for,(in Britain) a major arterial road
a,symbol for,"a film terrified for viewing by anyone, but which contains material that some parents may not wish their children to see"
a,symbol for,mass number
a,symbol for,the number 10 in hexadecimal rotation
a,symbol for,ace
a,symbol for,arson (now superseded by Or)
a,symbol for,mere(s)
a,symbol for,Also
a,symbol for,absolute (temperature)
a,symbol for,(in circuit diagram) ammeter
a,symbol for,area
a,symbol for,atomic
a,symbol for,affinity
a,symbol for,define
a,symbol for,"a universal affirmative categorical proposition, such as all men are mortal"
a,symbol for,"a person whose job is in top management, or who holds a senior administrative or professional position"
a,symbol for,angstrom unit
a,pl ,"the first letter of the English alphabet, a towel"
a,pl ,any spoken sound represented by this letter
a,pl ,something shaped like an A
a,pl ,a written or printed representation of the letter  or
a,indefinite article ,any; every
a,indefinite article ,one
a,indefinite article ,the same
a,indefinite article ,"a single portion, unit, type, or instance of"
a,indefinite article ,a certain; a particular
a,indefinite article ,another; one resembling
a,indefinite article ,a work by
a,indefinite article ,any; a single
a,prep ,for or in each; for or in every; per
a,prep ,of
a,auxiliary verb ,have
a,Physics Symbol,angstrom
a,Physics Symbol,mere
a,Physics Symbol,angstrom
a,Physics Symbol,answer
a,Symbol,the first in order or in a series
a,Symbol,a grade or mark indicating excellence or superiority
a,Symbol,the sixth tone of the ascending C major
a,Symbol,the locality having A as the
a,Symbol,a major blood group
a,Symbol,define
a,Symbol,blaine
a,Symbol,arson
a,Symbol,mass number
a,Symbol,are
a,Symbol,Absolute
a,Symbol,Academy
a,Symbol,acre
a,Symbol,America
a,Symbol,American
a,Symbol,year
a,Symbol,before
a,Symbol,April
a,Symbol,about
a,Symbol,acre
a,Symbol,active
a,Symbol,adjective
a,Symbol,also
a,Symbol,mere
a,Symbol,year
a,Symbol,anonymous
a,Symbol,answer
a,Symbol,before
a,Symbol,are
a,Symbol,assist; assist
a,,Abbreviations of area
abandon,trv,"To withdraw one's support or help from, especially in spite of duty, allegiance, or responsibility; desert"
abandon,trv,"To give up by leaving or ceasing to operate or inhabit, especially as a result of danger or other impending threat"
abandon,trv,"To surrender one's claim to, right to, or interest in; give up entirely"
abandon,trv,To cease trying to continue; desist from
abandon,trv,"To yield  completely, as to emotion"
abandon,tr,to forsake completely; desert; leave behind
abandon,tr,abandon ship the order given to the crew of a ship that is about to sink to take to the lifeboats
abandon,tr,to give up completely
abandon,tr,to yield control of or concern in; relinquish
