word,pos,dfns
a,noun,The name of the Latin script letter A/a
a,adverb,(crossroads) across
a,preposition,"To do with position or direction; In, on, at, by, towards, onto"
a,preposition,"To do with separation; In, into"
a,preposition,"To do with time; Each, per, in, on, by"
a,preposition,"To do with method; In, with"
a,preposition,To do with role or capacity; In
a,preposition,To do with status; In
a,preposition,"To do with process, with a passive verb; In the course of, experiencing"
a,preposition,"To do with an action, an active verb; Engaged in"
a,preposition,"To do with an action/movement; To, into"
a,preposition,Of
a,adjective,All
abandon,verb,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions"
abandon,verb,"To desist in doing, practicing, following, holding, or adhering to; to turn away from; to permit to lapse; to renounce; to discontinue"
abandon,verb,"To leave behind; to desert as in a ship or a position, typically in response to overwhelming odds or impending dangers; to forsake, in spite of a duty or responsibility"
abandon,verb,To subdue; to take control of
abandon,verb,To cast out; to banish; to expel; to reject
abandon,verb,"To no longer exercise a right, title, or interest, especially with no interest of proclaiming it again; to yield; to relinquish"
abandon,verb,"To surrender to the insure (an insured item), so as to claim a total loss"
abandon,noun,"A yielding to natural impulses or inhibition; freedom from artificial constraint, with loss of appreciation of consequences"
abandon,noun,Abandonment; relinquishment
ability,noun,Suitableness
ability,noun,The quality or state of being able; capacity to do or of doing something; having the necessary power
ability,noun,The legal wherewithal to act
ability,noun,Physical power
ability,noun,Financial ability
ability,noun,A unique power of the mind; a faculty
ability,noun,A skill or competence in doing; mental power; talent; aptitude
able,adjective,Easy to use
able,adjective,Suitable; competent
able,adjective,Liable to
able,adjective,Having the necessary powers or the needed resources to accomplish a task
able,adjective,Free from constraint preventing completion of task; permitted to; not prevented from
able,adjective,Having the physical strength; robust; healthy
able,adjective,Rich; well-to-do
able,adjective,"Lifted with skill, intelligence, knowledge, or competence"
able,adjective,Legally qualified or competent
able,adjective,Capable of performing all the requisite duties; as an able seaman
able,verb,To make ready
able,verb,To make capable; to enable
able,verb,To dress
able,verb,To give power to; to reinforce; to confirm
able,verb,To touch for; to guarantee
able,noun,"The letter ""A"" in Navy Phonetic Alphabet"
about,adjective,Moving around; astir
about,adjective,In existence; being in evidence; apparent
about,adjective,Dear; in the vicinity or neighbourhood
above,noun,Heaven
above,noun,"Something, especially a person's name in legal documents, that appears higher on the same page or on a preceding page"
above,noun,Higher authority
above,noun,"Betterment, raised status or condition"
abroad,noun,Countries or lands abroad
absolute,noun,"That which is independent of context-dependent interpretation, inviolate, fundamental"
absolute,noun,Anything that is absolute
absolute,noun,"In a plane, the two imaginary circular points at infinity; in space of three dimensions, the imaginary circle at infinity"
absolute,noun,(usually capitalized) A realm which exists without reference to anything else; that which can be imagined purely by itself; absolute ego
absolute,noun,(usually capitalized) The unity of spirit and nature; God
absolute,noun,(usually capitalized) The whole of reality; the vitality to which everything is reduced
absolute,noun,"A concentrated natural flower oil, used for perfumed; an alcoholic extract of a concrete"
absolutely,adverb,"In an absolute or unconditional manner; utterly, positively, wholly"
absolutely,adverb,Independently; viewed without relation to other things or factors
absolutely,adverb,(grammar) In a manner that does not take an object
academic,noun,"(usually capitalized) A follower of Plato, a Platonist"
academic,noun,"A senior member of an academy, college, or university; a person who attends an academy; a person engaged in scholar pursuits; one who is academic in practice"
academic,noun,A member of the Academy; an academician
academic,noun,A student in a college
academic,noun,Academic dress; academicals
academic,noun,Academic studies
accept,verb,"To receive, especially with a consent, with favour, or with approval"
accept,verb,To admit to a place or a group
accept,verb,"To regard as proper, usual, true, or to believe in"
accept,verb,To receive as adequate or satisfactory
accept,verb,To receive or admit to; to agree to; to assent to; to submit to
accept,verb,To endure patiently
accept,verb,To agree to pay
accept,verb,To receive officially
accept,verb,To receive something willingly
acceptable,adjective,"Worthy, decent, sure of being accepted or received with at least moderate pleasure"
acceptable,adjective,"Rarely worthy, less than excellent; possible"
access,noun,A way or means of approaching or entering; an entrance; a passage
access,noun,The act of approaching or entering; an advance
access,noun,The right or ability of approaching or entering; admittance; admission; inaccessibility
access,noun,The quality of being easy to approach or enter
access,noun,Admission to sexual intercourse
access,noun,In increase by addition; accession
access,noun,"In onset, attack, or fit of disease; an ague fit"
access,noun,In outburst of an emotion; a paroxysm; a fit of passion
access,noun,The right of a noncustodial parent to visit their child
access,noun,The process of locating data in memory
access,noun,Connection to or communication with a computer program or to the Internet
accident,noun,In unexpected event with negative consequences occurring without the intention of the one suffering the consequences
accident,noun,"Especially, a collision or similar unintended event that causes damage or death"
accident,noun,Any chance event
accident,noun,Chance
accident,noun,"Any property, fact, or relation that is the result of chance or is nonessential"
accident,noun,In instance of incontinence
accident,noun,In unintended pregnancy
accident,noun,"A quality or attribute in distinction from the substance, as sweetness, softness"
accident,noun,"(grammar) A property attached to a word, but not essential to it, such as gender, number, or case"
accident,noun,In irregular surface feature with no apparent cause
accident,noun,"A sudden discontinuity of ground such as fault of great thickness, bed or until of unstable ground"
accident,noun,A point or mark which may be retained or omitted in a coat of arms
accident,noun,"Cases; such unforeseen, extraordinary, extraneous interference as is out of the range of ordinary calculation"
accident,noun,"Appearance, manifestation"
accommodation,noun,"(usually a mass noun) Lodging in a dwelling or similar living quarters afforded to travellers in hotels or on cruise ships, or prisoners, etc"
accommodation,noun,(physical) Adaptation or adjustment
accommodation,noun,(personal) Adaptation or adjustment
accommodation,noun,"The place where sediment can make, or have made, a sedimentation"
accommodation,noun,Modifications to make one's way of speaking similar to others involved in a conversation or discourse; code-twitching
accompany,verb,To go with or attend as a companion or associate; to keep company with; to go along with
accompany,verb,To supplement with; add to
accompany,verb,To perform an accompanying part or parts in a composition
accompany,verb,To perform an accompanying part next to (another instrument or musician)
accompany,verb,To associate in a company; to keep company
accompany,verb,To habit (with)
accompany,verb,To habit with; to coexist with; occur with
