word,pos,dfns
a,noun,the 1st letter of the English alphabet: a graphics representation of this letter: a speech counterpart of orthographic a
a,indefinite article,used as a function word before singular nous when the reverent is specified
a,preposition,"in, to, or for each"
a,verb,have
a,abbreviation,absent
abandon,verb,to give up to the control or influence of another person or agent: to give up with the intent of never again claiming a right or interest in
abandon,noun,a thorough yielding to natural impulses
ability,noun,the quality or state of being able: competence in doing something : skill
able,adjective,"having sufficient power, skill, or resources to do something: having the freedom or opportunity to do something: having a quality or nature that makes something possible"
about,adverb,reasonably close to: almost: on the verge of
about,preposition,in a circle around : on every side of : around
about,adjective,moving from place to place
above,adverb,in the sky : overhead: in or to heaven
above,preposition,in or to a higher place than : over: river of
above,noun,something that is above: a person whose name is written above
above,adjective,written or discussed higher on the same page or on a preceding page
abroad,adverb or adjective,beyond the boundaries of one's country : in or to a foreign country
absolute,adjective,"free from perfection : perfect: free or relatively free from mixture : pure: outright, unmitigated"
absolutely,adverb,in an absolute manner: such as: completely or totally: with unlimited power
academic,adjective,"of, relating to, or associated with an academy or school especially of higher learning: of or relating to performance in courses of study: very learned but inexperienced in practical matters: based on formal study especially at an institution of higher learning"
academic,noun,"a member (such as a professor) of an institution of learning (such as a university): a person who is academic in background, outlook, or methods"
accept,verb,to receive (something offered) willingly: to be able or designed to take or hold (something applied or added)
acceptable,adjective,capable or worthy of being accepted
access,noun,"permission, liberty, or ability to enter, approach, or pass to and from a place or to approach or communicate with a person or thing: freedom or ability to obtain or make use of something: a way or means of entering or approaching: the act or an instance of accepting something"
access,verb,"to get at : to gain access to: such as: to be able to use, enter, or get near (something): to open or load (a computer file, an Internet site, etc.)"
accident,noun,an unforeseen and planned event or circumstance: lack of intention or necessity : chance
accommodation,noun,"something supplied for convenience or to satisfy a need: such as: lodging, food, and services or traveling space and related services: a public conveyance (such as a train) that stops at all or nearly all points: loan"
accompany,verb,to go with as an associate or companion
account,noun,"a record of debit and credit entries to cover transactions involving a particular item or a particular person or concern: a statement of transactions during a fiscal period and the resulting balance: reckoning, amputation"
account,verb,to furnish a justifying analysis or explanation
accurate,adjective,free from error especially as the result of care
accuse,verb,to charge with a fault or offense : blame
achieve,verb,"to succeed at reaching or accomplishing (a goal, result, etc.) especially through effort"
achievement,noun,the act of achieving something
acknowledge,verb,"to recognize the rights, authority, or status of"
acquire,verb,"to get as one's own:: to come into possession or control of often by specified means: to come to have as a new or added characteristic, trait, or ability (as by sustained effort or natural selection)"
across,preposition,"from one side to the opposite side of : over, through: on the opposite side of"
across,adverb,in a position reaching from one side to the other : crosswise
across,adjective,being in a crossed position
act,noun,the doing of a thing : deed: something done voluntarily
act,verb,to take action : move
act,abbreviation,active
action,noun,"a thing done : deed: the accomplishment of a thing usually over a period of time, in stages, or with the possibility of repetition: behavior, conduct: initiative, enterprise"
active,adjective,characterized by action rather than by contemplation or speculation
active,noun,an active person : one engaged in an action or activity
activity,noun,the quality or state of being active : behavior or actions of a particular kind
actor,noun,one that acts : door
actress,noun,a woman or girl who is an actor
actual,adjective,existing in fact or reality: not false or apparentused for emphasis
actually,adverb,in act or in fact : really
ad,noun,advertisement
adapt,verb,to make fit (as for a new use) often by modification
add,verb,to join or unite so as to bring about an increase or improvement
