words,pos,dfns
a,indefinite article, not any particular or certain one of a class or group:
a,indefinite article, a certain; a particular:
a,indefinite article, another; one typically resembling:
a,indefinite article, one (used before plural nouns that are preceded by a quantifier singular in form): a hundred men (compare hundreds of men ); a dozen times (compare dozens of times ).
a,indefinite article, indefinitely or nonspecifically (used with adjectives expressing number):
a,indefinite article, one (used before a noun expressing quantity):
a,indefinite article, any; a single:
A,noun," the first letter of the English alphabet, a vowel."
A,noun," any spoken sound represented by the letter A or a, as in bake, hat, father, or small."
A,noun, something having the shape of an A .
A,noun, a written or printed representation of the letter A or a.
A,noun," a device, as a printer's type, for reproducing the letter A or a."
a-,N/A," a reduced form of the Old English preposition on, meaning “on,” “in,” “into,” “to,” “toward,” preserved before a noun in a prepositional phrase, forming a predicate adjective or an adverbial element ( afoot; abed; ashore; aside; away ), or before an adjective ( afar; aloud; alow ), as a moribund prefix with a verb ( acknowledge ), and in archaic and dialectal use before a present participle in -ing ( set the bells aringing ); and added to a verb stem with the force of a present participle ( ablaze; agape; aglow; astride; and originally, awry )."
-a,N/A, a plural ending of nouns borrowed from Greek and Latin:
a.,abbreviation for, year.
A.,abbreviation for, year.
a,preposition, each; every; per:
A,abbreviation for, Electricity. ampere; amperes.
A,abbreviation for, Physics. angstrom; angstroms.
A,abbreviation for, answer.
A,abbreviation for, British. arterial (used with a road number to designate a major highway):
a-,N/A, a reduced form of the Old English preposition of: akin; afresh; anew.
-a,N/A," a feminine singular ending of nouns borrowed from Latin and Greek, also used in New Latin coinages to Latinize bases of any origin, and as a Latin substitute for the feminine ending - ē of Greek words: cinchona;"
a.,abbreviation for, before.
A.,abbreviation for, before.
a,preposition," Informal. a reduced, unstressed form of of (often written as part of a single, unhyphenated word):"
A,N/A, the first in order or in a series.
A,N/A, Sometimes a. 
A,N/A, Music. 
A,N/A," Physiology.  a major blood group, usually enabling a person whose blood is of this type to donate blood to persons of group A or AB and to receive blood from persons of O or A. Compare ABO system."
A,N/A, Sometimes a.  the medieval Roman numeral for 50 or 500. Compare Roman numerals.
A,N/A, Chemistry. (formerly) argon.
A,N/A," Chemistry, Physics. mass number."
A,N/A, Biochemistry. 
A,N/A, Also a. Logic. universal affirmative.
A,N/A," British.  a designation for a motion picture recommended as suitable for adults. Compare AA 2( def 5 ), U 5( def 6 ), X 3( def 9 )."
A,N/A," a proportional shoe width size, narrower than B and wider than AA."
A,N/A," a proportional brassiere cup size, smaller than B and larger than AA."
A,N/A," a quality rating for a corporate or municipal bond, lower than AA and higher than BBB."
a-,N/A," an old point-action prefix, not referring to an act as a whole, but only to the beginning or end: She arose (rose up). They abided by their beliefs (remained faithful to the end)."
-a,N/A, an ending of personal names forming feminines from masculines:
a.,abbreviation for, about.
a.,abbreviation for, acre; acres.
a.,abbreviation for, active.
a.,abbreviation for, adjective.
a.,abbreviation for, alto.
a.,abbreviation for, ampere; amperes.
a.,abbreviation for, anonymous.
a.,abbreviation for, answer.
