word,pos,dfns
a,noun,the 1st letter of the English alphabet: a graphic representation of this letter: a speech counterpart of orthographic a
a,noun,the sixth tone of a C-major scale
a,noun,a graphic device for reproducing the letter a
a,noun,one designated a especially as the first in order or class
a,noun,a grade rating a student's work as superior in quality: one graded or rated with an A
a,noun,something shaped like the letter A
a,noun,the one of the four ABO blood groups characterized by the presence of antigens designated by the letter A and by the presence of antibodies against the antigens present in the B blood group
a,indefinite article,used as a function word before singular nouns when the referent is unspecified
a,indefinite article,the same
a,indefinite article,"used as a function word before a singular noun followed by a restrictive modifier: anyused as a function word before a mass noun to denote a particular type or instanceused as a function word before a proper noun representing an example or typeused as a function word before a proper noun to indicate limited knowledge about the referentused as a function word before a proper noun to distinguish the condition of the referent from a usual, former, or hypothetical conditionused before the name of a day of the week to refer to one occurrence of itused before the name of a person (such as a famous artist) when the name is being used to refer to something (such as a painting) created by that personused before a family name to show that someone is a member of that family"
a,indefinite article,"used as a function word with nouns to form adverbial phrases of quantity, amount, or degree"
a,preposition (1),"in, to, or for each"
a,preposition (1),"on, in, at"
a,preposition (2),of
a,verb,have
a,abbreviation (1),absent
a,abbreviation (1),acceleration
a,abbreviation (1),acre
a,abbreviation (1),adult
a,abbreviation (1),alto
a,abbreviation (1),amorphous
a,abbreviation (1),anode
a,abbreviation (1),answer
a,abbreviation (1),ante
a,abbreviation (1),anterior
a,abbreviation (1),are
a,abbreviation (1),area
a,abbreviation (1),atto-
a,abbreviation (1),author
abandon,verb,to give up to the control or influence of another person or agent: to give up with the intent of never again claiming a right or interest in
abandon,verb,to withdraw from often in the face of danger or encroachment
abandon,verb,"to withdraw protection, support, or help from"
abandon,verb,to give (oneself) over unrestrainedly
abandon,verb,"to cease from maintaining, practicing, or using: to cease intending or attempting to perform"
abandon,noun,a thorough yielding to natural impulses
ability,noun,the quality or state of being able: competence in doing something : skill
ability,noun,natural aptitude or acquired proficiency
able,adjective,"having sufficient power, skill, or resources to do something: having the freedom or opportunity to do something: having a quality or nature that makes something possible"
able,adjective,"marked by intelligence, knowledge, skill, or competence"
about,adverb,reasonably close to: almost: on the verge of
about,adverb,on all sides : around
about,adverb,in rotation: around the outside
about,adverb,in many different directions : here and there
about,adverb,in the vicinity : near
about,adverb,in the opposite direction
about,preposition,in a circle around : on every side of : around
about,preposition,in the immediate neighborhood of : near: on or near the person of: in the makeup of: at the command of
about,preposition,engaged in
about,preposition,with regard to : concerning: concerned with: fundamentally concerned with or directed toward
about,preposition,over or in different parts of
about,adjective,moving from place to place
about,adjective,around sense 2
above,adverb,in the sky : overhead: in or to heaven
above,adverb,in or to a higher place: higher on the same page or on a preceding page: upstairs: above zero
above,adverb,in or to a higher rank or number
above,adverb,in addition : besides
above,adverb,upstage
above,preposition,in or to a higher place than : over: upriver of
above,preposition,"superior to (as in rank, quality, or degree): out of reach of: in preference to: too proud or honorable to stoop to"
above,preposition,"exceeding in number, quantity, or size : more than"
above,preposition,as distinct from and in addition to
above,noun,something that is above: a person whose name is written above
above,noun,a higher authority: heaven
above,adjective,written or discussed higher on the same page or on a preceding page
abroad,adverb or adjective,beyond the boundaries of one's country : in or to a foreign country
abroad,adverb or adjective,over a wide area : widely
abroad,adverb or adjective,away from one's home
abroad,adverb or adjective,in wide circulation : about
abroad,adverb or adjective,wide of the mark : astray
absolute,adjective,"free from imperfection : perfect: free or relatively free from mixture : pure: outright, unmitigated"
absolute,adjective,"being, governed by, or characteristic of a ruler or authority completely free from constitutional or other restraint"
absolute,adjective,"having no restriction, exception, or qualification"
absolute,adjective,"positive, unquestionable"
absolute,adjective,"independent of arbitrary standards of measurement: relating to or derived in the simplest manner from the fundamental units of length, mass, and time: relating to, measured on, or being a temperature scale based on absolute zero"
absolute,adjective,"fundamental, ultimate"
absolute,adjective,perfectly embodying the nature of a thing
absolute,adjective,standing apart from a normal or usual syntactical relation with other words or sentence elements: standing alone without a modified substantive: having no object in the particular construction under consideration though normally transitive
absolute,adjective,being self-sufficient and free of external references or relationships
absolute,adjective,being the true distance from an aircraft to the earth's surface
absolutely,adverb,in an absolute manner: such as: completely or totally: with unlimited power
absolutely,adverb,"used in speech as a forceful way of saying ""yes"" or of expressing agreementused in speech in the phrase absolutely not as a forceful way of saying ""no"" or of expressing disagreement"
absolutely,adverb,with respect to absolute values
academic,adjective,"of, relating to, or associated with an academy or school especially of higher learning: of or relating to performance in courses of study: very learned but inexperienced in practical matters: based on formal study especially at an institution of higher learning"
academic,adjective,of or relating to literary or artistic rather than technical or professional studies
academic,adjective,"theoretical, speculative: having no practical or useful significance"
academic,adjective,conforming to the traditions or rules of a school (as of literature or art) or an official academy : conventional
academic,noun,"a member (such as a professor) of an institution of learning (such as a university): a person who is academic in background, outlook, or methods"
academic,noun,academic subjects : courses of study taken at a school or college
accept,verb,to receive (something offered) willingly: to be able or designed to take or hold (something applied or added)
accept,verb,to give admittance or approval to
accept,verb,"to endure without protest or reaction: to regard as proper, normal, or inevitable: to recognize as true : believe"
accept,verb,to make a favorable response to: to agree to undertake (a responsibility)
accept,verb,to assume an obligation to pay
accept,verb,to receive (a legislative report) officially
accept,verb,to receive favorably something offered
acceptable,adjective,capable or worthy of being accepted
acceptable,adjective,"welcome, pleasing: barely satisfactory or adequate"
